"ID" "Mean" "Parity" "Sex" "Herd" "YearSeason" "dam" "BirthWeight" "DAY115" "BF115" "LMA115" "LEAN115"
"DDTCZZC16213850" 1 0 "母" "育1" 163 "DDTCZZC15201777" 1.7 185.44 8.7 NA NA
"DDTCZZC16211578" 1 0 "公" "育1" 163 "DDTCZZC14200683" 1.5 156.5 10.1 NA NA
"DDTCZZC18220710" 1 2 "母" "育1" 183 "DDTCZZC17211895" 1.4 187.24 10.98 27.13 50.53
"DDTCZZC18215404" 1 6 "公" "育3" 181 "DDTCZZC14200925" 1.4 206.16 9.78 NA NA
"DDTCZZC17217165" 1 2 "母" "育2" 173 "DDTCZZC16207039" 1.4 168.57 8.68 NA NA
"DDTCZZC17212709" 1 2 "母" "育1" 174 "DDTCZZC15206990" 1.1 178.75 11.31 NA NA
"DDTCZZC18216274" 1 2 "母" "育3" 182 "DDTCZZC16207866" 1 226.19 9.66 NA NA
"DDTCZZC15201408" 1 1 "公" "育1" 154 "DDTCZZC14200077" 1.7 157.56 11.22 NA NA
"DDTCZZC18218153" 1 3 "公" "育1" 182 "DDTCZZC16209940" 1.2 190.06 9.13 NA NA
"DDTCZZC17213695" 1 5 "公" "育1" 171 "DDTCZZC14200991" 1.6 155.75 10.4 NA NA
"DDTCZZC16209545" 1 0 "公" "育1" 162 "DDTCZZC14201566" 0.8 167.03 9.4 NA NA
"DDTCZZC19226179" 1 1 "母" "育成07" 193 "DDTCZZC18218898" 1.4 151.18 9.65 40.24 56.15
"DDTCZZC14200588" 1 0 "公" "育1" 141 "DDTCZZC13020366" 1.8 152.25 10.39 NA NA
"DDTCZZC18218165" 1 6 "公" "育1" 182 "DDTCZZC15204987" 1.7 182.42 9.66 NA NA
"DDTCZZC16212177" 1 0 "公" "育3" 163 "DDTCZZC15201737" 1.2 166 10.92 NA NA
"DDTCZZC14201283" 1 0 "母" "育1" 142 "DDTCZZC13020361" 1.35 181.84 15.64 NA NA
"DDTCZZC18216361" 1 1 "母" "育2" 181 "DDTCZZC17213491" 2 199.41 9.36 NA NA
"DDTCZZC17217112" 1 4 "母" "育2" 173 "DDTCZZC15206990" 1 178.47 12.38 NA NA
"DDTCZZC17213175" 1 1 "公" "育1" 173 "DDTCZZC16210640" 1.4 174.8 8.75 NA NA
"DDTCZZC17214859" 1 5 "公" "育1" 174 "DDTCZZC14200983" 1.7 182.04 9.01 NA NA
"DDTCZZC18221831" 1 1 "公" "育1" 184 "DDTCZZC17217064" 1.2 181.27 6.67 29.04 52.79
"DDTCZZC17213582" 1 5 "公" "育1" 172 "DDTCZZC15201459" 1.3 177.43 13.12 NA NA
"DDTCZZC14200126" 1 0 "母" "育1" 141 "DDTCZZC13020428" 1.75 166.23 12.93 NA NA
"DDTCZZC15203268" 1 2 "母" "育1" 152 "DDTCZZC14200123" 0.95 186.71 11.04 NA NA
"DDTCZZC17212701" 1 2 "母" "育1" 174 "DDTCZZC15206990" 1.6 187.57 9.37 NA NA
"DDTCZZC17212815" 1 1 "母" "育2" 173 "DDTCZZC16214925" 1.1 203.26 9.57 NA NA
"DDTCZZC18210391" 1 2 "公" "育3" 184 "DDTCZZC16207344" 1.4 196.01 11.39 NA NA
"DDTCZZC17217773" 1 2 "母" "育2" 173 "DDTCZZC16207135" 1.4 184.18 10.33 NA NA
"DDTCZZC16209805" 1 3 "公" "育3" 163 "DDTCZZC15201454" 1.2 158.21 9.53 NA NA
"DDTCZZC16207958" 1 0 "公" "育3" 163 "DDTCZZC15202150" 0.9 149.18 12.14 NA NA
"DDTCZZC17213321" 1 3 "母" "育1" 172 "DDTCZZC15204982" 1.6 167.56 9.85 NA NA
"DDTCZZC14201528" 1 0 "母" "育1" 143 "DDTCZZC13020393" 1.75 177.35 12.54 NA NA
"DDTCZZC17213086" 1 4 "公" "育1" 172 "DDTCZZC15204695" 1.7 183.78 10.43 NA NA
"DDTCZZC17217033" 1 1 "母" "育2" 173 "DDTCZZC16210678" 1.5 218.59 9.81 NA NA
"DDTCZZC16208770" 1 0 "公" "育1" 162 "DDTCZZC15201382" 0 161.3 8.35 NA NA
"DDTCZZC15202912" 1 4 "公" "育1" 151 "DDTCZZC13020332" 1.9 160.92 10.16 NA NA
"DDTCZZC18219381" 1 1 "母" "育2" 183 "DDTCZZC17217160" 1.3 197.49 10.79 NA NA
"DDTCZZC18219829" 1 2 "公" "育2" 183 "DDTCZZC17213050" 1.7 214.87 8.96 NA NA
"DDTCZZC17212784" 1 5 "公" "育1" 174 "DDTCZZC14200924" 1.6 181.43 6.17 NA NA
"DDTCZZC16207810" 1 0 "母" "育1" 164 "DDTCZZC15202469" 2 161.26 10.1 NA NA
"DDTCZZC15201480" 1 0 "公" "育1" 154 "DDTCZZC13020375" 1.45 183.14 12.6 NA NA
"DDTCZZC15202666" 1 1 "母" "育1" 152 "DDTCZZC14201242" 1.55 169.65 10.64 NA NA
"DDTCZZC15204609" 1 4 "母" "育1" 151 "DDTCZZC13020378" 1.3 164.66 10.05 NA NA
"DDTCZZC16208607" 1 0 "母" "育1" 162 "DDTCZZC14202016" 1.8 169.14 11.87 NA NA
"DDTCZZC17213997" 1 0 "母" "育1" 174 "DDTCZZC14200110" 1.5 195.03 10.22 NA NA
"DDTCZZC16207153" 1 0 "公" "育1" 162 "DDTCZZC15201695" 1.6 158.58 10.33 NA NA
"DDTCZZC15204673" 1 1 "母" "育1" 151 "DDTCZZC14200440" 1.5 175.15 10.23 NA NA
"DDTCZZC14200812" 1 0 "公" "育1" 142 "DDTCZZC13020420" 2.4 172.42 13.61 NA NA
"DDTCZZC15204048" 1 3 "母" "育1" 151 "DDTCZZC13020420" 1.5 170.88 12.21 NA NA
"DDTCZZC16207678" 1 1 "公" "育1" 162 "DDTCZZC15203266" 1.5 154.24 11.08 NA NA
"DDTCZZC14201022" 1 0 "公" "育1" 143 "DDTCZZC13020421" 1.25 166.96 12.55 NA NA
"DDTCZZC16208656" 1 3 "母" "育1" 162 "DDTCZZC14201038" 1.6 157.38 9.76 NA NA
"DDTCZZC15203320" 1 4 "母" "育1" 151 "DDTCZZC13020379" 1.45 170.03 10.92 NA NA
"DDTCZZC17217063" 1 4 "母" "育2" 173 "DDTCZZC15202835" 1.2 165 9.88 NA NA
"DDTCZZC16208922" 1 0 "母" "育3" 162 "DDTCZZC15202770" 1.4 166.1 8.06 NA NA
"DDTCZZC14200687" 1 0 "母" "育1" 141 "DDTCZZC13020389" 1.5 155.49 12.66 NA NA
"DDTCZZC15201917" 1 2 "母" "育1" 152 "DDTCZZC14200504" 1.9 170.63 8.66 NA NA
"DDTCZZC17213030" 1 3 "公" "育1" 171 "DDTCZZC15202757" 1.6 165 10.57 NA NA
"DDTCZZC18216401" 1 6 "母" "育3" 181 "DDTCZZC15203739" 1.9 185.54 8.72 NA NA
"DDTCZZC17211835" 1 3 "母" "育1" 172 "DDTCZZC15206818" 1.8 154.14 10.01 NA NA
"DDTCZZC18216635" 1 2 "母" "育2" 181 "DDTCZZC17214425" 1.8 212.13 10.91 NA NA
"DDTCZZC15201939" 1 2 "母" "育1" 152 "DDTCZZC14200483" 1.6 170.74 11.07 NA NA
"DDTCZZC15204905" 1 2 "公" "育1" 152 "DDTCZZC14200391" 1.9 142.34 10.3 NA NA
"DDTCZZC17213118" 1 4 "母" "育1" 173 "DDTCZZC15203073" 0.9 210.1 8.42 NA NA
"DDTCZZC16209008" 1 1 "公" "育1" 162 "DDTCZZC15201903" 1.4 160.85 9.28 NA NA
"DDTCZZC15202981" 1 0 "公" "育1" 151 "DDTCZZC13020342" 1.65 156.4 11.48 NA NA
"DDTCZZC15203068" 1 2 "公" "育1" 152 "DDTCZZC14200404" 2 149.47 10.43 NA NA
"DDTCZZC15206486" 1 5 "公" "育1" 153 "DDTCZZC13020437" 1.9 149.21 11.19 NA NA
"DDTCZZC16208123" 1 0 "公" "育3" 162 "DDTCZZC15204453" 1.3 155.15 8.97 NA NA
"DDTCZZC15202740" 1 1 "母" "育1" 153 "DDTCZZC14201042" 1.2 166.53 11.44 NA NA
"DDTCZZC18217253" 1 1 "公" "育1" 184 "DDTCZZC17214811" 1.3 196.7 11.6 NA NA
"DDTCZZC18218519" 1 1 "母" "育1" 182 "DDTCZZC17211895" 1.5 223.2 8.3 NA NA
"DDTCZZC17213029" 1 3 "公" "育1" 171 "DDTCZZC15202757" 1 191.81 10.58 NA NA
"DDTCZZC17212820" 1 2 "公" "育3" 173 "DDTCZZC16209095" 1.2 156.42 14.78 NA NA
"DDTCZZC17210133" 1 1 "公" "育1" 173 "DDTCZZC16207340" 1.6 173.48 9.94 NA NA
"DDTCZZC14201066" 1 0 "公" "育1" 143 "DDTCZZC13020422" 2.2 155.59 7.71 NA NA
"DDTCZZC15201439" 1 0 "母" "育1" 154 "DDTCZZC13020336" 1 192.55 12.45 NA NA
"DDTCZZC14201568" 1 0 "公" "育1" 144 "DDTCZZC13020361" 1.65 158.38 10.42 NA NA
"DDTCZZC16209144" 1 0 "母" "育1" 162 "DDTCZZC14200404" 0 144.35 10.77 NA NA
"DDTCZZC14200703" 1 0 "公" "育1" 141 "DDTCZZC13020360" 2.05 160.8 15.09 NA NA
"DDTCZZC18216422" 1 5 "公" "育3" 181 "DDTCZZC15206453" 1.7 181.97 10.44 NA NA
"DDTCZZC15202335" 1 4 "公" "育1" 152 "DDTCZZC13020430" 2.2 153.53 10.5 NA NA
"DDTCZZC18221860" 1 1 "母" "育1" 184 "DDTCZZC17217062" 1.5 167.55 7.32 NA NA
"DDTCZZC18215531" 1 4 "母" "育1" 182 "DDTCZZC16207277" 1.1 216.27 7.94 NA NA
"DDTCZZC18215079" 1 6 "母" "育1" 182 "DDTCZZC15203298" 1.8 161.84 10.15 NA NA
"DDTCZZC15201731" 1 0 "母" "育1" 154 "DDTCZZC13020375" 1.2 184.52 12.66 NA NA
"DDTCZZC16209438" 1 1 "公" "育1" 162 "DDTCZZC15202860" 1.6 178.57 13.45 NA NA
"DDTCZZC15202455" 1 1 "公" "育1" 151 "DDTCZZC14200259" 1.4 178.88 14.81 NA NA
