ID	Sire	Dam	Order
DDTCZZC17213455	DDTCZZC16208732	DDTCZZC15203773	328
DDTCZZC15205944	DDTCZZC14201198	DDTCZZC13020446	329
DDTCZZC17214369	DDTCZZC15206448	DDTCZZC15205944	330
DDTCZZC18216506	DDTCZZC17213455	DDTCZZC17214369	331
DDTCZZC14201265	DDTCZZC13020481	DDTCZZC13020428	332
DDTCZZC15206832	DDTCZZC14203535	DDTCZZC14201265	333
DDTCZZC127212BT	DDTCZZC11B403PT	DDTCZZC113835LT	334
DDTCZZC13020332	DDTCZZC12A918ET	DDTCZZC127212BT	335
DDTCZZC15202915	DDTCZZC14200007	DDTCZZC13020332	336
DDTCZZC16210625	DDTCZZC15206832	DDTCZZC15202915	337
DDTCZZC14202013	DDTCZZC13020471	DDTCZZC13020356	338
DDTCZZC13020389	DDTCZZC12A959BT	DDTCZZC12B104ST	339
DDTCZZC14201539	DDTCZZC13020457	DDTCZZC13020389	340
DDTCZZC17211949	DDTCZZC15202778	DDTCZZC14201539	341
DDTCZZC17213648	DDTCZZC15201681	DDTCZZC15201709	342
DDTCZZC18210863	DDTCZZC17211949	DDTCZZC17213648	343
DDTCZZC15205950	DDTCZZC14203535	DDTCZZC13020487	344
DDTCZZC14200378	DDTCZZC13020471	DDTCZZC13020437	345
DDTCZZC16207229	DDTCZZC15204628	DDTCZZC14200378	346
DDTCZZC12B989LT			347
DDTCZZC13020454	DDTCZZC12B918ET	DDTCZZC12B989LT	348
DDTCZZC15203793	DDTCZZC13020454	DDTCZZC13020338	349
DDTCZZC13020382	DDTCZZC126471MT	DDTCZZC128334PT	350
DDTCZZC15203287	DDTCZZC13020457	DDTCZZC13020382	351
DDTCZZC16207017	DDTCZZC15202951	DDTCZZC15203287	352
DDTCZZC15202316	DDTCZZC14200170	DDTCZZC13020360	353
DDTCZZC17213741	DDTCZZC15202752	DDTCZZC15202316	354
DDTCZZC18216629	DDTCZZC16207017	DDTCZZC17213741	355
DDTCZZC16212014	DDTCZZC15203262	DDTCZZC14200186	356
DDTCZZC15206711	DDTCZZC14200548	DDTCZZC14200039	357
DDTCZZC14201011	DDTCZZC13020457	DDTCZZC13020431	358
DDTCZZC12B011XT			359
DDTCZZC13020442	DDTCZZC12B959BT	DDTCZZC12B011XT	360
DDTCZZC14201119	DDTCZZC13020481	DDTCZZC13020442	361
DDTCZZC15206860	DDTCZZC14201011	DDTCZZC14201119	362
DDTCZZC16214701	DDTCZZC15206711	DDTCZZC15206860	363
DDTCZZC18210320	DDTCZZC16208682	DDTCZZC16214701	364
DDTCZZC13020465	DDTCZZC126471MT	DDTCZZC127958NT	365
DDTCZZC14900708	DDTCZZC13020465	DDTCZZC13020334	366
DDTCZZC14200390	DDTCZZC13020471	DDTCZZC13020351	367
DDTCZZC15203147	DDTCZZC14201151	DDTCZZC14200390	368
DDTCZZC17211743	DDTCZZC15206448	DDTCZZC15203147	369
DDTCZZC14202064	DDTCZZC13020481	DDTCZZC13020428	370
DDTCZZC14201538	DDTCZZC13020457	DDTCZZC13020389	371
DDTCZZC15206877	DDTCZZC14203535	DDTCZZC14201538	372
DDTCZZC16208164	DDTCZZC14202064	DDTCZZC15206877	373
DDTCZZC18216406	DDTCZZC17211743	DDTCZZC16208164	374
DDTCZZC18216983	DDTCZZC16208382	DDTCZZC16210636	375
DDTCZZC20222442	DDTCZZC18216406	DDTCZZC18216983	376
DDTCZZC17217591	DDTCZZC16208670	DDTCZZC15205944	377
DDTCZZC19227088	DDTCZZC18216406	DDTCZZC17217591	378
DDTCZZC15205948	DDTCZZC14203535	DDTCZZC13020487	379
DDTCZZC17212732	DDTCZZC15203416	DDTCZZC15205948	380
DDTCZZC12A776MT	DDTCZZC11C921IT	DDTCZZC113157DT	381
DDTCZZC130A0352	DDTCZZC126923BT	DDTCZZC12A776MT	382
DDTCZZC15201454	DDTCZZC13020471	DDTCZZC130A0352	383
DDTCZZC16209806	DDTCZZC15206435	DDTCZZC15201454	384
DDTCZZC14200190	DDTCZZC13020477	DDTCZZC13020446	385
DDTCZZC15203103	DDTCZZC13020465	DDTCZZC14200190	386
DDTCZZC16207039	DDTCZZC15204907	DDTCZZC15203103	387
DDTCZZC17217159	DDTCZZC16209806	DDTCZZC16207039	388
DDTCZZC14200075	DDTCZZC13020481	DDTCZZC13020489	389
DDTCZZC15206785	DDTCZZC14200127	DDTCZZC14200075	390
DDTCZZC16207558	DDTCZZC15205935	DDTCZZC15206785	391
DDTCZZC14203679	DDTCZZC13020481	DDTCZZC13020380	392
DDTCZZC12A238GT	DDTCZZC110326ST	DDTCZZC119619RT	393
DDTCZZC13020429	DDTCZZC125959BT	DDTCZZC12A238GT	394
DDTCZZC14201190	DDTCZZC13020457	DDTCZZC13020429	395
DDTCZZC15202792	DDTCZZC14203679	DDTCZZC14201190	396
DDTCZZC17212999	DDTCZZC16207558	DDTCZZC15202792	397
DDCG25116013801	DDCG26415154296	DDCG26415137761	398
DDCG25116021446	DDCG26415170636	DDCG26415172341	399
DDTGXGG17657454	DDCG25116013801	DDCG25116021446	400
DDTGXGG17657511	DDCG25116010480	DDCG25116020750	401
DDTGXGG18200206	DDTGXGG17657454	DDTGXGG17657511	402
DDTCZZC17217199	DDTCZZC16207558	DDTCZZC15204982	403
DDTCZZC20222123	DDTGXGG18200206	DDTCZZC17217199	404
DDTCZZC13020379	DDTCZZC126923BT	DDTCZZC12A517KT	405
DDTCZZC14200214	DDTCZZC13020471	DDTCZZC13020379	406
DDTCZZC16205494	DDTCZZC14202064	DDTCZZC14200214	407
DDTCZZC13020398	DDTCZZC12B959BT	DDTCZZC12A186XT	408
DDTCZZC14200202	DDTCZZC13020481	DDTCZZC13020398	409
DDTCZZC15203275	DDTCZZC13020467	DDTCZZC14200202	410
DDTCZZC17211351	DDTCZZC16207268	DDTCZZC15203275	411
DDTCZZC15204695	DDTCZZC13020480	DDTCZZC13020373	412
DDTCZZC17213082	DDTCZZC15202767	DDTCZZC15204695	413
DDTCZZC15203757	DDTCZZC13020457	DDTCZZC13020360	414
DDTCZZC16212259	DDTCZZC15206435	DDTCZZC15203757	415
DDTCZZC18218213	DDTCZZC17213082	DDTCZZC16212259	416
DDTCZZC14201264	DDTCZZC13020481	DDTCZZC13020428	417
DDTCZZC15206927	DDTCZZC14200007	DDTCZZC14201264	418
DDTCZZC14200224	DDTCZZC130A0484	DDTCZZC13020372	419
DDTCZZC12A088RT			420
DDTCZZC13020343	DDTCZZC12D088RT	DDTCZZC12A088RT	421
DDTCZZC15203465	DDTCZZC14200127	DDTCZZC13020343	422
DDTCZZC17217551	DDTCZZC16207017	DDTCZZC15203465	423
DDTCZZC15203476	DDTCZZC14200127	DDTCZZC130A0352	424
DDTCZZC16209762	DDTCZZC14200363	DDTCZZC15203476	425
DDTCZZC19224703	DDTCZZC17217551	DDTCZZC16209762	426
DDTCZZC12B228UT			427
DDTCZZC13020337	DDTCZZC12D088RT	DDTCZZC12B228UT	428
DDTCZZC14200991	DDTCZZC13020471	DDTCZZC13020337	429
DDTCZZC17213695	DDTCZZC15203416	DDTCZZC14200991	430
DDTCZZC15202140	DDTCZZC13020469	DDTCZZC13020437	431
DDTCZZC14201242	DDTCZZC13020469	DDTCZZC13020489	432
DDTCZZC15202669	DDTCZZC13020465	DDTCZZC14201242	433
DDTCZZC16208796	DDTCZZC15202140	DDTCZZC15202669	434
DDTCZZC15204913	DDTCZZC14203535	DDTCZZC14200391	435
DDTCZZC17213406	DDTCZZC16208796	DDTCZZC15204913	436
DDTCZZC18215798	DDTCZZC17213695	DDTCZZC17213406	437
DDTCZZC17212716	DDTCZZC15203416	DDTCZZC15205948	438
DDTCZZC18216450	DDTCZZC17210069	DDTCZZC17212716	439
DDTCZZC15202758	DDTCZZC14203535	DDTCZZC14200076	440
DDTCZZC16208601	DDTCZZC14200548	DDTCZZC15202758	441
DDTCZZC13020349	DDTCZZC12C933HT	DDTCZZC12A104VT	442
DDTCZZC14200998	DDTCZZC13020471	DDTCZZC13020349	443
DDTCZZC15204968	DDTCZZC14200127	DDTCZZC14200998	444
DDTCZZC14202037	DDTCZZC13020460	DDTCZZC13020446	445
DDTCZZC16209993	DDTCZZC15204968	DDTCZZC14202037	446
DDTCZZC13020336	DDTCZZC12E933HT	DDTCZZC12798207	447
DDTCZZC14200883	DDTCZZC13020481	DDTCZZC13020336	448
DDTCZZC15203015	DDTCZZC14203606	DDTCZZC14200883	449
DDTCZZC15204605	DDTCZZC14200127	DDTCZZC13020378	450
DDTCZZC16214764	DDTCZZC15203262	DDTCZZC15204605	451
DDTCZZC12B827JT			452
DDTCZZC13020353	DDTCZZC12E088RT	DDTCZZC12B827JT	453
DDTCZZC15202394	DDTCZZC14200033	DDTCZZC13020353	454
DDTCZZC15203266	DDTCZZC13020469	DDTCZZC14200123	455
DDTCZZC16207678	DDTCZZC14202064	DDTCZZC15203266	456
DDTCZZC15206453	DDTCZZC14200127	DDTCZZC13020345	457
DDTCZZC17211653	DDTCZZC16207678	DDTCZZC15206453	458
DDTCZZC15202468	DDTCZZC13020450	DDTCZZC14200186	459
DDTCZZC18210800	DDTCZZC17211949	DDTCZZC15202468	460
DDTCZZC15202725	DDTCZZC14201151	DDTCZZC14200387	461
DDTCZZC17211048	DDTCZZC15201681	DDTCZZC15202725	462
DDTCZZC19221532	DDTCZZC18210800	DDTCZZC17211048	463
